,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
[run number],number-of-cars-x,number-of-cars-y1,number-of-cars-y2,[step],[cont-shock] of polices,[time-waiting] of cars
2,34,10,7,500000,158,[188882 185554 184287 244971 231947 152259 187047 188697 186389 188776 317783 212807 207359 173890 184339 204969 207881 208092 336347 207514 184576 336947 232101 335740 185363 209919 183473 205100 184892 209464 247216 202423 188349 238320 233594 182862 205981 187912 206602 187381 207798 205221 186394 205325 144447 189155 206819 317120 179967 182404 206484]
4,34,10,7,500000,261,[184650 187849 317296 183448 203976 140726 205805 190097 317442 184029 186442 187327 190243 186577 206894 186529 212883 205248 187221 204493 100732 203919 189410 205145 183707 213018 204344 186491 317844 337559 183592 317578 206075 208168 193810 186008 204040 183307 201639 206982 183388 187607 126967 185258 336730 204023 338065 208786 206122 337246 239314]
3,34,10,7,500000,190,[337208 205109 204100 260422 182170 181687 204896 121682 185903 184088 102270 336297 205293 202773 182075 203002 183138 318636 204479 183160 188639 204906 180960 182282 337716 203164 203060 186048 216527 185436 203570 318314 183988 181284 202552 204215 246462 181163 337259 204066 144117 180604 180922 246215 206422 207433 204298 201749 204704 318408 204910]
1,34,10,7,500000,225,[152049 209290 186827 209288 159361 191026 337281 173022 316158 192010 210192 212054 193408 189608 186259 184733 146227 336915 188234 193605 190891 164361 208135 315750 191327 210357 210292 315730 188954 192055 189168 337524 159017 180211 192631 192670 211494 210612 193772 193924 211054 192491 188498 189311 315993 187953 315841 187691 193027 213672 315631]
5,34,10,7,500000,85,[224419 203231 205904 212477 204422 182813 184777 201700 205155 179036 185260 187850 187291 226755 205188 204476 318452 185903 188032 188687 171619 317673 184774 223094 207034 206469 206669 185935 184480 184987 199702 204604 187090 185604 220763 201751 318155 185124 205582 204780 186943 181022 337382 187573 337559 207488 318251 207155 183769 188937 184866]
6,34,10,7,500000,215,[186322 188559 318233 183920 184711 201686 161529 202238 202661 183410 193509 182367 205155 205955 190222 184315 202215 208984 185454 184630 183048 179163 202961 318888 205048 319243 193405 203010 200657 205145 205277 318154 203506 317529 183662 172584 203215 188743 205590 184478 336608 190590 184555 190393 204477 207509 337129 181808 185670 204719 184239]
7,34,10,7,500000,204,[192180 224904 189704 206169 187977 237550 338252 186455 189858 188931 186777 207114 186713 318296 188738 184446 179782 317990 183111 207216 243336 189811 234730 186676 208187 191209 189936 153908 208578 206874 338404 190504 186284 184502 317923 207069 209159 207918 188307 189594 224497 207886 207481 179117 156745 208493 190725 193580 185560 205971 338403]
8,34,10,7,500000,193,[204745 204235 221865 208951 203529 223705 207108 183695 204891 187860 186283 221323 186406 317296 185846 208109 184517 204907 207889 205114 335728 188031 182517 183420 208810 184809 238632 206952 196595 184547 184708 185753 206721 204878 208835 317654 186411 189848 207491 185773 223628 227243 206625 177873 182663 186408 183938 317611 192250 185705 206062]
,,,,,,
,,,,Promedio,"191,375",
,,,,DESVESAND,"52,2765653588134",
