,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
[run number],number-of-cars-x,number-of-cars-y1,number-of-cars-y2,efficient-speed,[step],[cont-shock] of polices,[time-waiting] of cars
4,34,10,7,0.04,500000,162,[274057 71466 285700 267745 129143 294693 278679 127751 123675 128339 67388 289503 281351 280179 74251 330821 275153 285603 330605 275282 232476 336339 184266 330637 282837 299325 275557 193695 269879 131824 297600 335261 289335 295267 331002 279201 138599 124761 72567 334058 129246 283200 283155 327944 331134 264078 273111 76929 287541 328599 130236]
3,34,10,7,0.04,500000,133,[68272 334348 70600 281858 284570 233858 274223 275033 278996 340851 331896 109157 286689 285724 329452 289662 113045 329622 328796 273562 132540 272917 332704 271290 284122 71187 62436 271292 188714 118170 341313 107117 188948 229365 331467 332609 181308 268728 335936 332354 121626 332292 271210 116418 334316 284959 289910 248309 230611 281298 278918]
2,34,10,7,0.04,500000,236,[282111 337443 333223 76244 229970 332527 275541 328571 109930 275796 232311 265950 181770 286178 296366 280395 106457 276030 332905 284007 230765 327710 288755 282794 116414 70326 81185 288943 107516 273759 333663 286383 290478 75042 330870 269941 330110 284293 328942 277828 330030 76678 102562 235900 180068 271081 288453 271479 108979 292131 332272]
1,34,10,7,0.04,500000,133,[133836 223425 278780 121417 335852 185565 74476 278409 339267 276028 278368 264402 329268 276245 285500 273053 66787 268045 335926 335700 295910 117988 334795 189481 117962 265979 188457 335071 277048 340652 333925 329235 63693 225177 117472 125830 278115 336836 283355 68491 334966 297005 263409 284075 265992 124830 275950 271430 122900 273332 290213]
5,34,10,7,0.04,500000,166,[123911 281961 187927 331232 331051 334850 78605 273807 269939 179733 332105 276771 273551 334839 270497 268685 330513 331696 123401 330831 72672 232790 333153 109090 334798 330856 269343 265152 275783 226503 277111 123854 283628 334581 81396 80157 230025 117949 277647 330293 121896 288257 73470 250689 270153 260312 287013 115488 287419 277899 278374]
6,34,10,7,0.04,500000,70,[269661 266885 288100 330979 333721 268201 270003 330143 87834 266672 295326 81318 339388 270953 266540 114388 294636 288149 252865 78713 265060 227166 104445 335643 115778 274369 231554 336151 81478 114851 276552 76566 335814 278317 335409 290332 122248 178397 338718 334598 277652 278610 228806 278516 337988 112315 108886 257893 273353 334082 74858]
7,34,10,7,0.04,500000,115,[276423 272034 340073 338845 63446 333859 274513 279073 336222 279072 63105 193573 336431 222871 278537 280011 336643 332387 115506 278953 336310 187965 261057 73544 268693 336744 287530 79585 291825 178814 121374 262269 296602 290932 113969 279505 337862 280851 285584 237567 115984 116456 330889 279974 120038 115074 283259 331363 233281 275841 274907]
8,34,10,7,0.04,500000,92,[90673 337130 336325 79323 91393 277499 331156 125202 221882 83895 117221 123596 125126 332432 250178 268119 275296 258450 114702 262420 124662 83892 267098 334403 330125 270998 326507 332922 337312 266141 332496 176131 332052 125072 273544 259724 265935 334535 331846 333998 250695 327454 282239 263454 225945 331444 81543 270291 262417 126608 275621]
,,,,,,,
,,,,,Promedio,"138,375",
,,,,,Desviacion estandar,"51,1047593534245",
